time,value
1722331380,[77]
1722331440,[75]
1722331500,[78]
1722331560,[74]
1722331620,[70]
1722331680,[76]
1722331740,[69]
1722331800,[87]
1722331860,[71]
1722331920,[75]
1722331980,[80]
1722332040,[79]
1722332100,[78]
1722332160,[72]
1722332220,[80]
1722332280,[79]
1722332340,[77]
1722332400,[73]
1722332460,[75]
1722332520,[76]
1722332580,[81]
1722332640,[81]
1722332700,[78]
1722332760,[86]
1722332820,[76]
1722332880,[85]
1722332940,[75]
1722333000,[78]
1722333060,[78]
1722333120,[83]
1722333180,[81]
1722333240,[82]
1722333300,[83]
1722333360,[80]
1722333420,[80]
1722333480,[92]
1722333540,[100]
1722333600,[77]
1722333660,[77]
1722333720,[77]
1722333780,[78]
1722333840,[76]
1722333900,[68]
1722333960,[76]
1722334020,[82]
1722334080,[78]
1722334140,[83]
1722334200,[76]
1722334260,[79]
1722334320,[79]
1722334380,[85]
1722334440,[74]
1722334500,[82]
1722334560,[70]
1722334620,[80]
1722334680,[75]
1722334740,[81]
1722334800,[79]
